source,product_key,observed_id,color_code,category_path,category_url,evidence_url,evidence_type,category_evidence_source
musinsa,1803235,1803235,,바지 > 슈트 팬츠/슬랙스,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/1803235,live_public_response,
musinsa,1803462,1803462,,아우터 > 슈트/블레이저 재킷,https://www.musinsa.com/category/002/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/1803462,live_public_response,
musinsa,1884480,1884480,,바지 > 숏 팬츠,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/1884480,live_public_response,
musinsa,2124438,2124438,,바지 > 슈트 팬츠/슬랙스,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2124438,live_public_response,
musinsa,2398609,2398609,,아우터 > 슈트/블레이저 재킷,https://www.musinsa.com/category/002/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2398609,live_public_response,
musinsa,2444810,2444810,,아우터 > 슈트/블레이저 재킷,https://www.musinsa.com/category/002/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2444810,live_public_response,
musinsa,2578996,2578996,,바지 > 슈트 팬츠/슬랙스,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2578996,live_public_response,
musinsa,2609006,2609006,,바지 > 슈트 팬츠/슬랙스,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2609006,live_public_response,
musinsa,2737014,2737014,,아우터 > 사파리/헌팅 재킷,https://www.musinsa.com/category/002/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2737014,live_public_response,
musinsa,2796118,2796118,,바지 > 데님 팬츠,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/2796118,live_public_response,
musinsa,3132891,3132891,,상의 > 반소매 티셔츠,https://www.musinsa.com/category/001/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/3132891,live_public_response,
musinsa,3135305,3135305,,원피스/스커트 > 롱스커트,https://www.musinsa.com/category/100/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/3135305,live_public_response,
musinsa,3154695,3154695,,바지 > 슈트 팬츠/슬랙스,https://www.musinsa.com/category/003/goods?gf=A,https://goods-detail.musinsa.com/api2/goods/3154695,live_public_response,
