source,observed_id,category_path,status,rule,reason,direct_product_count
uniqlo,,니트 & 가디건 > 가디건,unresolved,uniqlo_cardigan,기존 유니클로 가디건 분류 충돌을 유지,0
uniqlo,,니트 & 가디건 > 니트 > 가디건,unresolved,uniqlo_cardigan,기존 유니클로 가디건 분류 충돌을 유지,1
uniqlo,,이너웨어 > 에어리즘 > 브라,unresolved,bra,기존 검토에서 앱 카테고리 연결이 확정되지 않음,1
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/kids/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/240845e71ad89b893c3c.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/e2049d219387901a14f2.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/kids/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/e1fd5986c8bc4e00b656.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/baby/newborn/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/dc40e22ffadd68d8ec5c.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/baby/toddler/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/f362927b8bce38c29555.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/men/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/bc9ac8e75ffa798237a5.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/kids/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/7162772f142d9b00faea.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/women/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/e4a97cff8cce50fbfbdc.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/kids/airism/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/2fa3fd69985f26d438e3.html,0
uniqlo,,,unresolved,invalid_category_url,category URL contains an undefined/null path component; raw_href=undefined/kr/ko; resolved_url=https://www.uniqlo.com/kr/ko/kids/airism/undefined/kr/ko; raw_path=/Users/jinyoung/Documents/Projects/FitMatch/FitMatch/Docs/Research/CategoryCorpus-live-uniqlo-full/raw/uniqlo/category-pages/1dc331c47a0cef4cc337.html,0
